date,role_html,detail_1_html,detail_2_html,detail_3_html,detail_4_html
"2026 Apr – Now","Associate Professor at DTU Bioengineering (<a href=""https://www.bioengineering.dtu.dk/research/research-sections/section-for-synthetic-biology"" target=""_blank"">Section for Synthetic Biology</a>)","Research direction: data science and modelling of whole-cell biosolutions","Projects: <a href=""https://www.dtu.dk/english/newsarchive/2025/07/biofertilizers-aim-to-make-global-food-production-both-sustainable-and-affordable"" target=""_blank"">Initiative for Biofertilizer Innovation and Science (IBIS)</a> and RAPIDFUNG","Work: data infrastructure, predictive modelling, AI-assisted workflows, and scientific coordination","Main result: building reproducible data and modelling platforms for fungal biotechnology and biofertilizer discovery"
"2025 Jan – 2026 Mar","Specialist and Special Consultant at DTU Bioengineering (<a href=""https://www.bioengineering.dtu.dk/research/research-sections/section-for-synthetic-biology"" target=""_blank"">Section for Synthetic Biology</a>)","Project: <a href=""https://www.dtu.dk/english/newsarchive/2025/07/biofertilizers-aim-to-make-global-food-production-both-sustainable-and-affordable"" target=""_blank"">Initiative for Biofertilizer Innovation and Science (IBIS)</a>","Work: coordination of data science (incl. AI) and dissemination","Main result: data infrastructure and knowledge-sharing concepts for IBIS and DTU Bioengineering",
"2025 Jan – 2025 Dec","Advisor at Mycoverse ApS","Work: Biological data solutions",,,
"2021 Aug – 2024 Dec","Postdoc and Specialist at DTU Bioengineering (<a href=""https://www.bioengineering.dtu.dk/research/research-sections/section-for-synthetic-biology"" target=""_blank"">Section for Synthetic Biology</a>)","Project: <a href=""https://www.dtu.dk/english/news/all-news/nyhed?id=%7B72707024-bd9c-4469-a113-efa309a7972c%7D"" target=""_blank"">Smarter AgroBiological Screening (SABS)</a>","Work: coordination of data science (incl. AI) and dissemination","Main result: data solutions for SABS, Bioengineering and Mycoverse ApS",
"2020 Feb – 2021 Jul","Postdoc at DTU Biosustain (<a href=""https://orbit.dtu.dk/en/organisations/synthetic-biology-tools-for-yeast-2"" target=""_blank"">Group - Synthetic Biology Tools for Yeast</a>)","Project: <a href=""https://www.miami-project.eu/about-us/"" target=""_blank"">the refactoring Monoterpenoid Indole Alkaloid biosynthesis in Microbial cell factories (MIAMI)</a>","Work: laboratory experimentation, data science (incl. AI) and dissemination","Main result: translation of protocols into code <a href=""#pub-11"">publication no. 11</a>",
"2019 Jan – 2019 May","Visiting researcher at Lawrence Berkeley National Lab (<a href=""https://qmm.lbl.gov/"" target=""_blank"">Group – Quantitative metabolic modeling</a> in collaboration with <a href=""http://teselagen.com/"" target=""_blank"">TeselaGen Biotechnology San Francisco Data science group</a>)","Work: collaboration on machine learning based statistical modeling","Main result: predictive models that are now part of a joint publication <a href=""#pub-5"">publication no. 5</a>",,
"2016 Sep – 2016 Nov","Research assistant at DTU Biosustain (<a href=""https://orbit.dtu.dk/en/organisations/synthetic-biology-tools-for-yeast-2"" target=""_blank"">Group – Synthetic Biology Tools for Yeast</a>)","Work: repurposing heterologous transcription factors as biosensors","Main result: creating library of up to 34 TF binding sites at 133 positions",,
"2014 Feb – 2014 Jun","Exchange student at ""ETH Zürich "" (<a href=""https://www.imb.uni-stuttgart.de/en/institute/team/Christen/"" target=""_blank"">Group - Experimental Systems Biology</a>)","Work: investigating mechanisms initiating the cell cycle in C. crescentus","Main result: fluorescence labeling of investigated key proteins",,
"2013 Mar - 2014 Mar","Board member at Society for Biological Engineering  at DTU (<a href=""http://www.sbe.dtu.dk/"" target=""_blank"">SBE</a>)","Work: planning and executing activities. Responsible for company relations","Main result: student excursions to Novo Nordisk and Chr. Hansen. Co-organizer of the networking event Reach and Discover 2013",,
"2010 Feb - 2010 May","Military Service at DANILOG Vordingborg","Work: military education (“Hærens Basisuddannelse”)","Main result: passed with recommendation and promotion to private group leader",,
